instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_132_4_00,LB,1800.0,-,282090.76,-,-,-,-,-
500_132_4_00,BinP,1800.0,630.00,282093.2
500_132_4_00,GH,1800.0,0.01,308719.9
500_132_4_00,GH + TS,1800.0,850.77,282093.2,26627.0,9.0,276.9,485,835
500_132_4_00,GH + HC,1800.0,264.05,282093.2,26627.0,9.0,28.891,118,468
500_132_4_01,LB,1800.0,-,282102.88,-,-,-,-,-
500_132_4_01,BinP,1800.0,811.23,282102.88
500_132_4_01,GH,1800.0,0.00,307429.12
500_132_4_01,GH + TS,1800.0,362.58,282102.88,25326.0,8.0,14.738,80,430
500_132_4_01,GH + HC,1800.0,250.84,282102.88,25326.0,8.0,30.501,133,483
500_132_4_02,LB,1800.0,-,282094.38,-,-,-,-,-
500_132_4_02,BinP,1800.0,787.86,282094.38
500_132_4_02,GH,1800.0,0.00,309138.04
500_132_4_02,GH + TS,1800.0,422.12,282094.38,27044.0,9.0,14.888,76,426
500_132_4_02,GH + HC,1800.0,241.19,282094.38,27044.0,9.0,29.189,129,479
500_132_4_03,LB,1800.0,-,282090.76,-,-,-,-,-
500_132_4_03,BinP,1800.0,718.17,282099.26
500_132_4_03,GH,1800.0,0.00,307229.14
500_132_4_03,GH + TS,1800.0,438.34,282099.26,25130.0,8.0,11.959,60,410
500_132_4_03,GH + HC,1800.0,245.8,282099.26,25130.0,8.0,16.992,69,419
500_132_4_04,LB,1800.0,-,282101.7,-,-,-,-,-
500_132_4_04,BinP,1800.0,659.53,282106.58
500_132_4_04,GH,1800.0,0.00,308871.4
500_132_4_04,GH + TS,1800.0,473.63,282106.58,26765.0,9.0,14.67,94,444
500_132_4_04,GH + HC,1800.0,246.23,282106.58,26765.0,9.0,30.551,127,477
500_132_4_05,LB,1800.0,-,282101.7,-,-,-,-,-
500_132_4_05,BinP,1800.0,789.64,282101.7
500_132_4_05,GH,1800.0,0.00,306968.56
500_132_4_05,GH + TS,1800.0,451.57,282101.7,24867.0,8.0,16.007,80,430
500_132_4_05,GH + HC,1800.0,263.49,282101.7,24867.0,8.0,28.204,119,469
500_132_4_06,LB,1800.0,-,282105.32,-,-,-,-,-
500_132_4_06,BinP,1800.0,724.78,282105.32
500_132_4_06,GH,1800.0,0.00,307968.46
500_132_4_06,GH + TS,1800.0,333.55,282105.32,25863.0,8.0,15.683,68,418
500_132_4_06,GH + HC,1800.0,207.18,282105.32,25863.0,8.0,12.059,45,395
500_132_4_07,LB,1800.0,-,282107.76,-,-,-,-,-
500_132_4_07,BinP,1800.0,689.61,282107.76
500_132_4_07,GH,1800.0,0.00,309119.86
500_132_4_07,GH + TS,1800.0,329.71,282107.76,27012.0,9.0,15.053,59,409
500_132_4_07,GH + HC,1800.0,225.12,282107.76,27012.0,9.0,13.864,54,404
500_132_4_08,LB,1800.0,-,282091.94,-,-,-,-,-
500_132_4_08,BinP,1800.0,794.61,282100.44
500_132_4_08,GH,1800.0,0.00,306865.54
500_132_4_08,GH + TS,1800.0,418.96,282102.88,24763.0,8.0,18.68,75,425
500_132_4_08,GH + HC,1800.0,229.59,282100.44,24765.0,8.0,18.039,68,418
500_132_4_09,LB,1800.0,-,282108.94,-,-,-,-,-
500_132_4_09,BinP,1800.0,1023.39,282111.38
500_132_4_09,GH,1800.0,0.01,310301.56
500_132_4_09,GH + TS,1800.0,561.99,282111.38,28190.0,9.0,29.949,80,430
500_132_4_09,GH + HC,1800.0,221.41,282111.38,28190.0,9.0,13.978,63,413
500_132_4_10,LB,1800.0,-,282094.38,-,-,-,-,-
500_132_4_10,BinP,1800.0,741.99,282094.38
500_132_4_10,GH,1800.0,0.00,307465.48
500_132_4_10,GH + TS,1800.0,344.72,282094.38,25371.0,8.0,15.132,56,406
500_132_4_10,GH + HC,1800.0,234.86,282094.38,25371.0,8.0,15.0,72,422
500_132_4_11,LB,1800.0,-,282096.82,-,-,-,-,-
500_132_4_11,BinP,1800.0,765.93,282099.26
500_132_4_11,GH,1800.0,0.00,307816.96
500_132_4_11,GH + TS,1800.0,541.18,282101.7,25715.0,8.0,68.336,181,531
500_132_4_11,GH + HC,1800.0,207.96,282099.26,25718.0,8.0,13.964,82,432
500_132_4_12,LB,1800.0,-,282091.94,-,-,-,-,-
500_132_4_12,BinP,1800.0,699.52,282099.26
500_132_4_12,GH,1800.0,0.00,307568.5
500_132_4_12,GH + TS,1800.0,364.38,282105.32,25463.0,8.0,14.797,58,408
500_132_4_12,GH + HC,1800.0,367.37,282099.26,25469.0,8.0,88.082,334,684
500_132_4_13,LB,1800.0,-,282090.76,-,-,-,-,-
500_132_4_13,BinP,1800.0,806.31,282095.64
500_132_4_13,GH,1800.0,0.00,307835.14
500_132_4_13,GH + TS,1800.0,383.96,282095.64,25740.0,8.0,26.462,94,444
500_132_4_13,GH + HC,1800.0,244.52,282095.64,25740.0,8.0,20.795,74,424
500_132_4_14,LB,1800.0,-,282106.5,-,-,-,-,-
500_132_4_14,BinP,1800.0,746.70,282108.94
500_132_4_14,GH,1800.0,0.00,306804.94
500_132_4_14,GH + TS,1800.0,339.94,282108.94,24696.0,8.0,13.231,62,412
500_132_4_14,GH + HC,1800.0,225.27,282108.94,24696.0,8.0,19.25,75,425
500_132_4_15,LB,1800.0,-,282093.2,-,-,-,-,-
500_132_4_15,BinP,1800.0,657.86,282098.08
500_132_4_15,GH,1800.0,0.00,308798.68
500_132_4_15,GH + TS,1800.0,407.86,282098.08,26701.0,9.0,12.055,69,419
500_132_4_15,GH + HC,1800.0,250.78,282098.08,26701.0,9.0,20.782,80,430
500_132_4_16,LB,1800.0,-,282104.14,-,-,-,-,-
500_132_4_16,BinP,1800.0,604.63,282111.38
500_132_4_16,GH,1800.0,0.00,308532.04
500_132_4_16,GH + TS,1800.0,502.04,282111.38,26421.0,9.0,89.536,185,535
500_132_4_16,GH + HC,1800.0,228.07,282116.26,26416.0,9.0,12.004,64,414
500_132_4_17,LB,1800.0,-,282113.82,-,-,-,-,-
500_132_4_17,BinP,1800.0,939.83,282119.88
500_132_4_17,GH,1800.0,0.00,307720.0
500_132_4_17,GH + TS,1800.0,470.53,282119.88,25600.0,8.0,12.405,65,415
500_132_4_17,GH + HC,1800.0,254.98,282119.88,25600.0,8.0,26.819,111,461
500_132_4_18,LB,1800.0,-,282093.2,-,-,-,-,-
500_132_4_18,BinP,1800.0,898.89,282093.2
500_132_4_18,GH,1800.0,0.00,310707.58
500_132_4_18,GH + TS,1800.0,456.45,282093.2,28614.0,9.0,11.581,46,396
500_132_4_18,GH + HC,1800.0,237.3,282098.08,28610.0,9.0,22.962,86,436
500_132_4_19,LB,1800.0,-,282096.82,-,-,-,-,-
500_132_4_19,BinP,1800.0,619.09,282099.26
500_132_4_19,GH,1800.0,0.00,309859.18
500_132_4_19,GH + TS,1800.0,421.26,282099.26,27760.0,9.0,15.367,69,419
500_132_4_19,GH + HC,1800.0,226.51,282099.26,27760.0,9.0,11.683,53,403
